LearningPlatformSelect,LearningPlatformUsefulnessArxiv,LearningPlatformUsefulnessBlogs,LearningPlatformUsefulnessCollege,LearningPlatformUsefulnessCompany,LearningPlatformUsefulnessConferences,LearningPlatformUsefulnessFriends,LearningPlatformUsefulnessKaggle,LearningPlatformUsefulnessNewsletters,LearningPlatformUsefulnessCommunities,LearningPlatformUsefulnessDocumentation,LearningPlatformUsefulnessCourses,LearningPlatformUsefulnessProjects,LearningPlatformUsefulnessPodcasts,LearningPlatformUsefulnessSO,LearningPlatformUsefulnessTextbook,LearningPlatformUsefulnessTradeBook,LearningPlatformUsefulnessTutoring,LearningPlatformUsefulnessYouTube
"Kaggle,Personal Projects,Podcasts,Stack Overflow Q&A,Trade book",,,,,,,Very useful,,,,,Somewhat useful,Somewhat useful,Very useful,,Very useful,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Textbook,,,,,,,,,,,,,,,Somewhat useful,,,
"College/University,Textbook,Tutoring/mentoring,YouTube Videos",,,Very useful,,,,,,,,,,,,Somewhat useful,,Very useful,Somewhat useful
"Online courses,Podcasts",,,,,,,,,,,Somewhat useful,,Very useful,,,,,
"Arxiv,College/University,Kaggle,Stack Overflow Q&A,Textbook,Tutoring/mentoring",Somewhat useful,,Very useful,,,,Very useful,,,,,,,Very useful,Somewhat useful,,Very useful,
"Arxiv,Blogs,Conferences,Friends network,Tutoring/mentoring",Somewhat useful,Not Useful,,,Not Useful,Somewhat useful,,,,,,,,,,,Very useful,
"Blogs,College/University,Kaggle,Official documentation,Online courses,Textbook",,Somewhat useful,Not Useful,,,,Somewhat useful,,,Very useful,Very useful,,,,Very useful,,,
"Online courses,Personal Projects,Textbook",,,,,,,,,,,Very useful,Very useful,,,Somewhat useful,,,
"Arxiv,College/University,Company internal community,Conferences,Official documentation,Online courses,Stack Overflow Q&A,Textbook",Very useful,,Very useful,Somewhat useful,Somewhat useful,,,,,Somewhat useful,Somewhat useful,,,Very useful,Very useful,,,
"Blogs,Tutoring/mentoring,YouTube Videos",,Very useful,,,,,,,,,,,,,,,Very useful,Very useful
"Online courses,Personal Projects,Stack Overflow Q&A",,,,,,,,,,,Very useful,Somewhat useful,,Very useful,,,,
"Arxiv,Blogs,Company internal community,Conferences,Kaggle,Non-Kaggle online communities,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos",Very useful,Very useful,,Somewhat useful,Somewhat useful,,Somewhat useful,,Somewhat useful,,,Very useful,Somewhat useful,Somewhat useful,Very useful,,,Somewhat useful
"Arxiv,College/University,Official documentation,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos",Somewhat useful,,Very useful,,,,,,,Somewhat useful,,,,Somewhat useful,Somewhat useful,,Somewhat useful,Somewhat useful
"Blogs,Friends network,Personal Projects,Stack Overflow Q&A",,Very useful,,,,Very useful,,,,,,,,Very useful,,,,
"Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,,,,,,Somewhat useful,,,,Very useful,Very useful,,Somewhat useful,Somewhat useful,,,Very useful
"Arxiv,Blogs,Stack Overflow Q&A,Textbook",Very useful,Somewhat useful,,,,,,,,,,,,Very useful,Very useful,,,
"Arxiv,Conferences,Personal Projects",Somewhat useful,,,,Very useful,,,,,,,Very useful,,,,,,
"Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,Textbook",,,,,,,Very useful,,,,Somewhat useful,Somewhat useful,,Very useful,Somewhat useful,,,
College/University,,,Very useful,,,,,,,,,,,,,,,
"Personal Projects,Other",,,,,,,,,,,,Very useful,,,,,,
"Arxiv,Blogs,College/University,Company internal community,Conferences,Kaggle,Newsletters,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,Trade book,Tutoring/mentoring,YouTube Videos",Very useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful
"Blogs,Friends network,Kaggle,Online courses,YouTube Videos",,Very useful,,,,,Somewhat useful,,,,Very useful,,,,,,,Very useful
"Arxiv,Blogs,Company internal community,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook",Somewhat useful,Somewhat useful,,Very useful,,,,,,Very useful,Somewhat useful,Very useful,,Somewhat useful,Very useful,,,
"Company internal community,Textbook",,,,Somewhat useful,,,,,,,,,,,Somewhat useful,,,
"Arxiv,Blogs,Personal Projects,Stack Overflow Q&A,Textbook",Somewhat useful,Somewhat useful,,,,,,,,,,Very useful,,Somewhat useful,Somewhat useful,,,
"Blogs,Kaggle,Personal Projects,Stack Overflow Q&A,Textbook",,Very useful,,,,,Somewhat useful,,,,,Very useful,,Somewhat useful,Somewhat useful,,,
"College/University,Stack Overflow Q&A,YouTube Videos",,,Very useful,,,,,,,,,,,Somewhat useful,,,,Somewhat useful
"Kaggle,Non-Kaggle online communities,Online courses,Stack Overflow Q&A,Textbook",,,,,,,Somewhat useful,,Very useful,,Very useful,,,Very useful,Very useful,,,
"Blogs,Kaggle,Online courses,Stack Overflow Q&A,Textbook",,Very useful,,,,,Very useful,,,,Very useful,,,Very useful,Somewhat useful,,,
"Online courses,Personal Projects",,,,,,,,,,,Very useful,Somewhat useful,,,,,,
"College/University,Tutoring/mentoring",,,Somewhat useful,,,,,,,,,,,,,,Very useful,
"Arxiv,Blogs,Conferences,Stack Overflow Q&A,Textbook",Very useful,Somewhat useful,,,Somewhat useful,,,,,,,,,Somewhat useful,Very useful,,,
Stack Overflow Q&A,,,,,,,,,,,,,,Very useful,,,,
Kaggle,,,,,,,Very useful,,,,,,,,,,,
Arxiv,Not Useful,,,,,,,,,,,,,,,,,
"College/University,Friends network,Kaggle,Tutoring/mentoring,YouTube Videos",,,Very useful,,,Very useful,Somewhat useful,,,,,,,,,,Very useful,Somewhat useful
"Arxiv,Blogs,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",Very useful,Very useful,,,,,Very useful,,,,Very useful,Very useful,,Very useful,,,,Very useful
,,,,,,,,,,,,,,,,,,
"Blogs,Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook",,Somewhat useful,,,,,Somewhat useful,,,Very useful,Very useful,Very useful,,Very useful,Somewhat useful,,,
"College/University,Conferences,YouTube Videos",,,Very useful,,Somewhat useful,,,,,,,,,,,,,Somewhat useful
"College/University,Kaggle,Online courses,Personal Projects",,,Very useful,,,,Very useful,,,,Very useful,Somewhat useful,,,,,,
"Arxiv,Blogs,College/University,Conferences,Kaggle,Non-Kaggle online communities,Official documentation,Stack Overflow Q&A",Very useful,Very useful,Somewhat useful,,Somewhat useful,,Somewhat useful,,Somewhat useful,Very useful,,,,Very useful,,,,
"College/University,Kaggle,Personal Projects,Stack Overflow Q&A,Textbook",,,Very useful,,,,Very useful,,,,,Very useful,,Very useful,Very useful,,,
"Arxiv,Blogs,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",,,,,,,,,,,,,,,,,,
"Arxiv,Online courses,Textbook",Somewhat useful,,,,,,,,,,Very useful,,,,Somewhat useful,,,
"Blogs,Friends network,Kaggle,Online courses,Personal Projects,YouTube Videos",,Somewhat useful,,,,Very useful,Somewhat useful,,,,Very useful,Very useful,,,,,,Somewhat useful
"Blogs,Kaggle,Personal Projects,Textbook",,Somewhat useful,,,,,Very useful,,,,,Very useful,,,Very useful,,,
"Company internal community,Kaggle,Official documentation,Online courses,Tutoring/mentoring",,,,Somewhat useful,,,Somewhat useful,,,Very useful,Somewhat useful,,,,,,Very useful,
"Blogs,College/University,Conferences,Kaggle,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,Very useful,Very useful,,Very useful,,Very useful,,,,,Somewhat useful,,Somewhat useful,Very useful,,,Very useful
"Newsletters,Non-Kaggle online communities,Online courses",,,,,,,,Very useful,Very useful,,Very useful,,,,,,,
"Arxiv,Blogs,College/University,Kaggle,Newsletters,Stack Overflow Q&A,YouTube Videos",Very useful,Very useful,Very useful,,,,Somewhat useful,Somewhat useful,,,,,,Somewhat useful,,,,Somewhat useful
"Online courses,Textbook",,,,,,,,,,,Very useful,,,,Very useful,,,
Other,,,,,,,,,,,,,,,,,,
"Arxiv,Blogs,Kaggle,Online courses,Personal Projects,Textbook",Very useful,Somewhat useful,,,,,Somewhat useful,,,,Somewhat useful,Very useful,,,Somewhat useful,,,
,,,,,,,,,,,,,,,,,,
"Arxiv,Blogs,College/University,Company internal community,Friends network,Kaggle,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",Somewhat useful,Very useful,Somewhat useful,Very useful,,Very useful,Very useful,,Somewhat useful,Very useful,Very useful,Very useful,,Very useful,Somewhat useful,,,Somewhat useful
"Blogs,College/University,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,Textbook",,Somewhat useful,Very useful,,,,Very useful,,,,Very useful,Very useful,,Somewhat useful,Very useful,,,
"Kaggle,Online courses,Personal Projects",,,,,,,Very useful,,,,Very useful,Very useful,,,,,,
Personal Projects,,,,,,,,,,,,Somewhat useful,,,,,,
Stack Overflow Q&A,,,,,,,,,,,,,,Somewhat useful,,,,
"Arxiv,Kaggle,Official documentation,Online courses,Stack Overflow Q&A,YouTube Videos",Somewhat useful,,,,,,Very useful,,,Very useful,Very useful,,,Very useful,,,,Very useful
"Arxiv,Conferences,Online courses",Very useful,,,,Very useful,,,,,,Very useful,,,,,,,
"Blogs,Kaggle,Official documentation,Online courses,Stack Overflow Q&A,YouTube Videos",,Somewhat useful,,,,,Somewhat useful,,,Somewhat useful,Very useful,,,Somewhat useful,,,,Somewhat useful
"Kaggle,Textbook,Trade book",,,,,,,Somewhat useful,,,,,,,,Somewhat useful,Very useful,,
"Blogs,Kaggle,Online courses,Stack Overflow Q&A,Textbook,YouTube Videos",,Somewhat useful,,,,,Somewhat useful,,,,Somewhat useful,,,Somewhat useful,Somewhat useful,,,Somewhat useful
"Blogs,Kaggle,Stack Overflow Q&A,YouTube Videos",,Very useful,,,,,Very useful,,,,,,,Very useful,,,,Very useful
"Arxiv,Blogs,Conferences,Kaggle,Non-Kaggle online communities",Very useful,Very useful,,,Somewhat useful,,Somewhat useful,,Somewhat useful,,,,,,,,,
"Blogs,Newsletters,Online courses",,Somewhat useful,,,,,,Somewhat useful,,,Very useful,,,,,,,
"Blogs,College/University,Conferences,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",,Somewhat useful,Very useful,,Very useful,,Very useful,,,,Very useful,Very useful,,Somewhat useful,,,,Somewhat useful
"Blogs,Company internal community,Conferences,Online courses,Stack Overflow Q&A",,Very useful,,Somewhat useful,Very useful,,,,,,Very useful,,,Somewhat useful,,,,
"College/University,Conferences,Kaggle,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos,Other",,,Very useful,,Somewhat useful,,Somewhat useful,,,,,Very useful,,Very useful,Somewhat useful,,,Somewhat useful
,,,,,,,,,,,,,,,,,,
"Blogs,Newsletters,Stack Overflow Q&A,Textbook",,Very useful,,,,,,Somewhat useful,,,,,,Very useful,Very useful,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"College/University,Kaggle",,,Very useful,,,,Very useful,,,,,,,,,,,
Kaggle,,,,,,,Very useful,,,,,,,,,,,
"Blogs,Friends network,Online courses,Personal Projects,Stack Overflow Q&A,YouTube Videos",,Very useful,,,,Very useful,,,,,Not Useful,Very useful,,Very useful,,,,Very useful
"Blogs,Kaggle,Non-Kaggle online communities,Online courses,Stack Overflow Q&A,YouTube Videos",,Somewhat useful,,,,,Somewhat useful,,Very useful,,Very useful,,,Not Useful,,,,Not Useful
YouTube Videos,,,,,,,,,,,,,,,,,,Somewhat useful
"Online courses,Textbook,YouTube Videos",,,,,,,,,,,Very useful,,,,Very useful,,,Very useful
"Arxiv,Blogs,College/University,Friends network,Kaggle,Newsletters,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos",Somewhat useful,Somewhat useful,Somewhat useful,,,Somewhat useful,Not Useful,Not Useful,,Very useful,Very useful,Somewhat useful,Very useful,Very useful,Very useful,,,Somewhat useful
"College/University,Conferences,Kaggle,Personal Projects,Textbook",,,Very useful,,Somewhat useful,,Very useful,,,,,Somewhat useful,,,Somewhat useful,,,
"College/University,Kaggle,Official documentation,Online courses,Stack Overflow Q&A,Textbook",,,Very useful,,,,Very useful,,,Somewhat useful,Somewhat useful,,,Very useful,Somewhat useful,,,
"Kaggle,Online courses,Stack Overflow Q&A,YouTube Videos",,,,,,,Very useful,,,,Very useful,,,Very useful,,,,Very useful
"Online courses,Personal Projects",,,,,,,,,,,Very useful,Very useful,,,,,,
"College/University,Stack Overflow Q&A,Textbook",,,Very useful,,,,,,,,,,,Somewhat useful,Somewhat useful,,,
Kaggle,,,,,,,Very useful,,,,,,,,,,,
Blogs,,Very useful,,,,,,,,,,,,,,,,
"Blogs,Kaggle,Personal Projects,Stack Overflow Q&A,Textbook",,Very useful,,,,,Very useful,,,,,Very useful,,Very useful,Very useful,,,
"Kaggle,Online courses,Personal Projects,Other,Other",,,,,,,Somewhat useful,,,,Somewhat useful,Very useful,,,,,,
"Kaggle,Online courses,Tutoring/mentoring,YouTube Videos",,,,,,,Very useful,,,,Very useful,,,,,,Somewhat useful,Somewhat useful
"Arxiv,Kaggle,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,YouTube Videos",Very useful,,,,,,Very useful,,,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,,,Somewhat useful
"Online courses,Stack Overflow Q&A,YouTube Videos",,,,,,,,,,,Somewhat useful,,,Somewhat useful,,,,Somewhat useful
YouTube Videos,,,,,,,,,,,,,,,,,,Very useful
"Online courses,Personal Projects,YouTube Videos",,,,,,,,,,,Very useful,Very useful,,,,,,Very useful
"Blogs,Kaggle,Personal Projects",,Somewhat useful,,,,,Very useful,,,,,Somewhat useful,,,,,,
"Blogs,College/University,Kaggle,Online courses,Textbook",,Somewhat useful,Somewhat useful,,,,Very useful,,,,Somewhat useful,,,,Somewhat useful,,,
"Blogs,Kaggle,Online courses,YouTube Videos",,Somewhat useful,,,,,Very useful,,,,Very useful,,,,,,,Very useful
Other,,,,,,,,,,,,,,,,,,
Online courses,,,,,,,,,,,Very useful,,,,,,,
"Blogs,Company internal community,Kaggle,Stack Overflow Q&A,YouTube Videos",,Very useful,,Very useful,,,Very useful,,,,,,,Very useful,,,,Very useful
,,,,,,,,,,,,,,,,,,
"Company internal community,Kaggle,Personal Projects,Stack Overflow Q&A",,,,Very useful,,,Very useful,,,,,Very useful,,Somewhat useful,,,,
"Blogs,Kaggle,Online courses,Textbook,YouTube Videos",,Somewhat useful,,,,,Very useful,,,,Very useful,,,,Very useful,,,Somewhat useful
Podcasts,,,,,,,,,,,,,Somewhat useful,,,,,
"Blogs,College/University,Kaggle,Newsletters,Non-Kaggle online communities,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,Very useful,Somewhat useful,,,,Somewhat useful,Somewhat useful,Somewhat useful,,,Somewhat useful,,Very useful,Somewhat useful,,,Very useful
"Blogs,Kaggle,Online courses,Stack Overflow Q&A,YouTube Videos",,Very useful,,,,,Somewhat useful,,,,Very useful,,,Somewhat useful,,,,Somewhat useful
"College/University,Friends network,Kaggle,Stack Overflow Q&A,Tutoring/mentoring,YouTube Videos",,,Very useful,,,Very useful,Somewhat useful,,,,,,,Somewhat useful,,,Very useful,Somewhat useful
College/University,,,Very useful,,,,,,,,,,,,,,,
"College/University,Kaggle,Online courses,Tutoring/mentoring",,,Very useful,,,,Somewhat useful,,,,Very useful,,,,,,Somewhat useful,
Textbook,,,,,,,,,,,,,,,Very useful,,,
"College/University,Online courses,Stack Overflow Q&A,Textbook,YouTube Videos",,,Very useful,,,,,,,,Very useful,,,Somewhat useful,Very useful,,,Very useful
"Kaggle,Stack Overflow Q&A",,,,,,,Somewhat useful,,,,,,,Somewhat useful,,,,
"Friends network,Kaggle,Non-Kaggle online communities,Official documentation,Online courses,Stack Overflow Q&A,YouTube Videos,Other",,,,,,Somewhat useful,Very useful,,Very useful,Somewhat useful,Somewhat useful,,,Very useful,,,,Somewhat useful
Kaggle,,,,,,,Very useful,,,,,,,,,,,
"Kaggle,Stack Overflow Q&A",,,,,,,Very useful,,,,,,,Very useful,,,,
"Arxiv,Kaggle,Online courses,Stack Overflow Q&A,Tutoring/mentoring",Very useful,,,,,,Very useful,,,,Very useful,,,Somewhat useful,,,Very useful,
"College/University,Friends network,Textbook,Tutoring/mentoring,YouTube Videos",,,Very useful,,,Very useful,,,,,,,,,Very useful,,Very useful,Very useful
"Stack Overflow Q&A,Other",,,,,,,,,,,,,,Very useful,,,,
Personal Projects,,,,,,,,,,,,Very useful,,,,,,
"College/University,Friends network,Kaggle,Non-Kaggle online communities,Online courses,Personal Projects,Stack Overflow Q&A,Textbook",,,Very useful,,,Somewhat useful,Very useful,,Very useful,,Very useful,Very useful,,Very useful,Somewhat useful,,,
"Textbook,YouTube Videos",,,,,,,,,,,,,,,Very useful,,,Very useful
,,,,,,,,,,,,,,,,,,
"Blogs,Friends network,Kaggle,Personal Projects,Stack Overflow Q&A,Tutoring/mentoring",,Somewhat useful,,,,Somewhat useful,Somewhat useful,,,,,Somewhat useful,,Somewhat useful,,,Somewhat useful,
Personal Projects,,,,,,,,,,,,Very useful,,,,,,
College/University,,,Very useful,,,,,,,,,,,,,,,
"Blogs,Conferences,Newsletters,Official documentation,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,YouTube Videos",,Somewhat useful,,,Somewhat useful,,,Somewhat useful,,Somewhat useful,Very useful,Very useful,Somewhat useful,Somewhat useful,,,,Very useful
"Blogs,Friends network,Kaggle,Online courses,Personal Projects,Podcasts,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos,Other",,Very useful,,,,Very useful,Very useful,,,,Very useful,Very useful,Somewhat useful,Somewhat useful,Somewhat useful,,Very useful,Somewhat useful
"Online courses,Stack Overflow Q&A",,,,,,,,,,,Very useful,,,Very useful,,,,
"Stack Overflow Q&A,Textbook",,,,,,,,,,,,,,Somewhat useful,Somewhat useful,,,
College/University,,,Very useful,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Blogs,Kaggle,Non-Kaggle online communities,Official documentation,Online courses,Stack Overflow Q&A,YouTube Videos",,Somewhat useful,,,,,Very useful,,Somewhat useful,Not Useful,Very useful,,,Somewhat useful,,,,Somewhat useful
"College/University,Online courses,Personal Projects,YouTube Videos",,,Somewhat useful,,,,,,,,Very useful,Very useful,,,,,,Not Useful
"Blogs,Kaggle,Podcasts,YouTube Videos",,Somewhat useful,,,,,Very useful,,,,,,Somewhat useful,,,,,Very useful
"Official documentation,Online courses,Textbook,YouTube Videos",,,,,,,,,,Somewhat useful,Very useful,,,,Very useful,,,Somewhat useful
"Arxiv,College/University,Conferences,Friends network,Newsletters,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",Very useful,,Very useful,,Somewhat useful,Somewhat useful,,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Very useful,,Very useful,Somewhat useful,,,Somewhat useful
"Kaggle,Online courses,Stack Overflow Q&A,Tutoring/mentoring",,,,,,,Very useful,,,,Very useful,,,Very useful,,,Somewhat useful,
"Blogs,Online courses,Personal Projects",,Somewhat useful,,,,,,,,,Very useful,Very useful,,,,,,
"College/University,Company internal community,Friends network,Kaggle,Newsletters,Non-Kaggle online communities,Official documentation,Online courses,Personal Projects,Podcasts,Textbook,YouTube Videos",,,Not Useful,Very useful,,Somewhat useful,Very useful,Not Useful,Somewhat useful,Very useful,Very useful,Very useful,Somewhat useful,,Somewhat useful,,,Somewhat useful
"Blogs,Kaggle,Official documentation,Stack Overflow Q&A,YouTube Videos",,Very useful,,,,,Very useful,,,Somewhat useful,,,,Somewhat useful,,,,Somewhat useful
"Arxiv,Blogs,Kaggle,Non-Kaggle online communities,Official documentation,Stack Overflow Q&A",Somewhat useful,Somewhat useful,,,,,Very useful,,Very useful,Very useful,,,,Somewhat useful,,,,
"College/University,Conferences,Online courses,Personal Projects",,,Very useful,,Very useful,,,,,,Very useful,Very useful,,,,,,
Kaggle,,,,,,,Very useful,,,,,,,,,,,
"Friends network,Textbook",,,,,,Very useful,,,,,,,,,Somewhat useful,,,
"Blogs,Kaggle,Personal Projects,Stack Overflow Q&A",,Somewhat useful,,,,,Somewhat useful,,,,,Very useful,,Very useful,,,,
"Arxiv,Blogs,Kaggle,Newsletters,Non-Kaggle online communities,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,Tutoring/mentoring,YouTube Videos,Other",Very useful,Very useful,,,,,Very useful,Somewhat useful,Very useful,,Very useful,Very useful,,Somewhat useful,Somewhat useful,,Very useful,Somewhat useful
"Kaggle,Official documentation,Online courses,Personal Projects,Stack Overflow Q&A",,,,,,,Very useful,,,Very useful,Very useful,Very useful,,Very useful,,,,
"Kaggle,Textbook",,,,,,,Very useful,,,,,,,,,,,
"College/University,Kaggle,Stack Overflow Q&A,YouTube Videos",,,Very useful,,,,Somewhat useful,,,,,,,Somewhat useful,,,,Very useful
"Kaggle,Online courses,Stack Overflow Q&A",,,,,,,Somewhat useful,,,,Somewhat useful,,,Somewhat useful,,,,
"College/University,Kaggle,Personal Projects,Stack Overflow Q&A,YouTube Videos",,,Very useful,,,,Somewhat useful,,,,,Somewhat useful,,Somewhat useful,,,,Somewhat useful
"Kaggle,Online courses,Podcasts,Trade book,Tutoring/mentoring",,,,,,,Very useful,,,,Very useful,,Somewhat useful,,,Somewhat useful,Very useful,
"Online courses,Textbook,YouTube Videos",,,,,,,,,,,Very useful,,,,Somewhat useful,,,Somewhat useful
"Blogs,College/University,Non-Kaggle online communities,Official documentation,Online courses,Stack Overflow Q&A,Textbook,YouTube Videos",,Somewhat useful,Very useful,,,,,,Somewhat useful,Very useful,Somewhat useful,,,Very useful,Very useful,,,Very useful
Tutoring/mentoring,,,,,,,,,,,,,,,,,Very useful,
"Blogs,Kaggle,Online courses,Personal Projects",,Somewhat useful,,,,,Very useful,,,,Somewhat useful,Very useful,,,,,,
"Conferences,Kaggle,Official documentation",,,,,Very useful,,Somewhat useful,,,Very useful,,,,,,,,
"College/University,Conferences,Personal Projects",,,Very useful,,Somewhat useful,,,,,,,Very useful,,,,,,
Blogs,,Somewhat useful,,,,,,,,,,,,,,,,
Online courses,,,,,,,,,,,Very useful,,,,,,,
"College/University,Kaggle,Online courses,Stack Overflow Q&A",,,Somewhat useful,,,,Somewhat useful,,,,Very useful,,,Very useful,,,,
"Arxiv,Blogs,College/University,Podcasts,Textbook",Very useful,Very useful,Somewhat useful,,,,,,,,,,Somewhat useful,,Somewhat useful,,,
"College/University,Personal Projects,Textbook",,,Very useful,,,,,,,,,Very useful,,,Somewhat useful,,,
"Blogs,College/University,Company internal community,Conferences,Kaggle,Online courses,Personal Projects,Stack Overflow Q&A,Textbook,YouTube Videos",,Somewhat useful,Very useful,Very useful,Very useful,,Very useful,,,,Very useful,Somewhat useful,,Very useful,Very useful,,,Very useful
,,,,,,,,,,,,,,,,,,
"Kaggle,Stack Overflow Q&A,YouTube Videos",,,,,,,Very useful,,,,,,,Very useful,,,,Somewhat useful
"College/University,Kaggle,Online courses,Personal Projects,Podcasts,Textbook,YouTube Videos",,,Very useful,,,,Somewhat useful,,,,Very useful,Somewhat useful,Not Useful,,Not Useful,,,Somewhat useful
"Blogs,Stack Overflow Q&A",,Very useful,,,,,,,,,,,,Very useful,,,,
College/University,,,Very useful,,,,,,,,,,,,,,,
"Arxiv,Blogs,College/University,Conferences,Non-Kaggle online communities,Official documentation,Personal Projects,Stack Overflow Q&A,Textbook",Very useful,Very useful,Very useful,,Very useful,,,,Very useful,Somewhat useful,,Very useful,,Very useful,Somewhat useful,,,
"College/University,Kaggle,Personal Projects,Textbook,YouTube Videos",,,Somewhat useful,,,,Somewhat useful,,,,,Very useful,,,Not Useful,,,Very useful
"Blogs,Online courses,Podcasts",,Somewhat useful,,,,,,,,,Very useful,,Somewhat useful,,,,,
College/University,,,Somewhat useful,,,,,,,,,,,,,,,
"College/University,Kaggle,Stack Overflow Q&A,Tutoring/mentoring",,,Somewhat useful,,,,Somewhat useful,,,,,,,Very useful,,,Very useful,
"College/University,Conferences,Kaggle,Personal Projects,Textbook",,,Very useful,,Somewhat useful,,Somewhat useful,,,,,Somewhat useful,,,Very useful,,,
"College/University,Conferences,Kaggle,Online courses,Personal Projects",,,Very useful,,Somewhat useful,,Very useful,,,,Very useful,Somewhat useful,,,,,,
Online courses,,,,,,,,,,,Very useful,,,,,,,
