JobSkillImportanceBigData,JobSkillImportanceDegree,JobSkillImportanceStats,JobSkillImportanceEnterpriseTools,JobSkillImportancePython,JobSkillImportanceR,JobSkillImportanceSQL,JobSkillImportanceKaggleRanking,JobSkillImportanceMOOC,JobSkillImportanceVisualizations,JobSkillImportanceOtherSelect1,JobSkillImportanceOtherSelect2,JobSkillImportanceOtherSelect3
Unnecessary,Unnecessary,Unnecessary,Unnecessary,Unnecessary,Unnecessary,Unnecessary,Unnecessary,Unnecessary,Unnecessary,,,
,,,,,,,,,,,,
Nice to have,Unnecessary,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Unnecessary,Unnecessary,Nice to have,Unnecessary,Unnecessary,Unnecessary
,,,,,,,,,,,,
,,,,,,,,,,,,
Necessary,Nice to have,Nice to have,Nice to have,Necessary,Necessary,Necessary,Nice to have,Nice to have,Nice to have,,,
Necessary,,,,,,,,,,,,
,Necessary,Necessary,Necessary,Necessary,Necessary,Necessary,Unnecessary,Nice to have,Necessary,,,
,,,,,,,,,,,,
Necessary,Nice to have,Nice to have,Unnecessary,Nice to have,Nice to have,Nice to have,Unnecessary,Unnecessary,Nice to have,,,
Nice to have,Necessary,Nice to have,Nice to have,Necessary,Nice to have,Necessary,Unnecessary,Necessary,Necessary,,,
Necessary,Necessary,Nice to have,Necessary,Unnecessary,Unnecessary,Unnecessary,Unnecessary,Unnecessary,Unnecessary,,,
Necessary,Unnecessary,Necessary,Necessary,Necessary,Nice to have,Necessary,Nice to have,Nice to have,Necessary,,,
Necessary,Unnecessary,Necessary,Nice to have,Necessary,Unnecessary,Nice to have,Nice to have,Nice to have,Nice to have,,,
Nice to have,Necessary,Nice to have,Nice to have,Necessary,Necessary,Necessary,Nice to have,Necessary,Nice to have,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Necessary,Unnecessary,Nice to have,,Necessary,Necessary,Necessary,Nice to have,Nice to have,Nice to have,,,
Necessary,,,,Necessary,,,Nice to have,,,,,
Necessary,Nice to have,Necessary,Unnecessary,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Necessary,,,
Necessary,Necessary,Necessary,Unnecessary,Necessary,Necessary,Necessary,Necessary,Necessary,Necessary,,,
,,,,,,,,,,,,
Necessary,Necessary,Necessary,Unnecessary,Necessary,Necessary,Nice to have,Nice to have,Nice to have,Necessary,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Unnecessary,Unnecessary,Necessary,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Unnecessary,Nice to have,,,
Necessary,Nice to have,Necessary,Necessary,Nice to have,Nice to have,Necessary,Unnecessary,Unnecessary,Nice to have,,,
Necessary,Necessary,Necessary,Nice to have,Necessary,Nice to have,Necessary,Unnecessary,Unnecessary,Necessary,,,
Necessary,Nice to have,Nice to have,Nice to have,Necessary,Necessary,Necessary,Unnecessary,Unnecessary,Necessary,,,
,,,,,,,,,,,,
Nice to have,Nice to have,Nice to have,Unnecessary,Nice to have,Unnecessary,Unnecessary,Nice to have,Nice to have,Nice to have,Unnecessary,Unnecessary,Unnecessary
Necessary,Nice to have,Necessary,Nice to have,Necessary,Necessary,Necessary,,,Necessary,,,
Nice to have,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Necessary,Necessary,Necessary,Necessary,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Nice to have,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Unnecessary,Necessary,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Necessary,,,,Nice to have,Nice to have,Necessary,Unnecessary,Unnecessary,Necessary,,,
,,,,,,,,,,,,
Nice to have,Necessary,Necessary,Necessary,Necessary,Nice to have,Necessary,Unnecessary,Unnecessary,Nice to have,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have
,,,,,,,,,,,,
Nice to have,Necessary,Necessary,Necessary,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Necessary,,,
,,,,,,,,,,,,
Nice to have,Unnecessary,Necessary,Nice to have,Necessary,Nice to have,Unnecessary,Unnecessary,Unnecessary,Necessary,,,
Nice to have,Unnecessary,Nice to have,Nice to have,Necessary,Necessary,Necessary,Nice to have,Unnecessary,Necessary,,,
Necessary,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Necessary,Necessary,Nice to have,Nice to have,,,
Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,,,
,,,,,,,,,,,,
Nice to have,Unnecessary,Necessary,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Unnecessary,Necessary,,,
,,Necessary,,Necessary,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Nice to have,Nice to have,Nice to have,Unnecessary,Necessary,Nice to have,Nice to have,Unnecessary,Unnecessary,Nice to have,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Necessary,Nice to have,Nice to have,Unnecessary,Necessary,Nice to have,Necessary,Unnecessary,Unnecessary,Necessary,,,
Nice to have,Nice to have,Nice to have,Unnecessary,Unnecessary,Necessary,Nice to have,Nice to have,Nice to have,Necessary,,,
Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Necessary,Necessary,Nice to have,Nice to have,Necessary,,,
,,,,,,,,,,,,
Nice to have,Necessary,Necessary,Nice to have,Necessary,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Necessary,Necessary,Nice to have,Unnecessary,Necessary,Nice to have,Nice to have,Necessary,Nice to have,Necessary,,,
Nice to have,Nice to have,Necessary,Unnecessary,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,,,
,,,,,,,,,,,,
Necessary,Unnecessary,Nice to have,Unnecessary,Necessary,Nice to have,Unnecessary,Necessary,Nice to have,Nice to have,,,
,,,,,,,,,,,,
Necessary,Necessary,Necessary,Necessary,Necessary,Necessary,Necessary,Necessary,Necessary,Necessary,,,
Nice to have,Necessary,Nice to have,,,,Unnecessary,,,,,,
,,,,,,,,,,,,
Nice to have,Nice to have,Necessary,Unnecessary,Necessary,Nice to have,Necessary,Nice to have,Nice to have,Necessary,,,
,,,,,Necessary,Necessary,,,Necessary,,,
Nice to have,Necessary,Necessary,Nice to have,Necessary,Necessary,Necessary,Nice to have,Nice to have,Necessary,,,
,,,,,,,,,,,,
Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Necessary,Necessary,Unnecessary,Unnecessary,Necessary,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Nice to have,Nice to have,Nice to have,Unnecessary,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Nice to have,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Nice to have,Necessary,Necessary,Nice to have,Necessary,Unnecessary,Nice to have,Unnecessary,Unnecessary,Necessary,,,
Nice to have,Nice to have,Necessary,Nice to have,Necessary,Necessary,Necessary,Nice to have,Nice to have,Necessary,,,
Necessary,Necessary,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Necessary,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Necessary,Unnecessary,Nice to have,Necessary,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,,,,
,,,,,,,,,,,,
Unnecessary,Necessary,Nice to have,Unnecessary,Nice to have,Nice to have,Necessary,Nice to have,Unnecessary,Nice to have,Necessary,,
,,,,,,,,,,,,
,Nice to have,,,Necessary,Nice to have,,Necessary,,,,,
Nice to have,Nice to have,Necessary,Necessary,Necessary,Necessary,Necessary,Nice to have,Necessary,Necessary,,,
Necessary,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Necessary,Necessary,Unnecessary,Necessary,,,
Nice to have,Necessary,Necessary,Nice to have,Necessary,Necessary,,Nice to have,Nice to have,Necessary,,,
Necessary,,,,,,,Necessary,Necessary,Necessary,,,
Nice to have,Nice to have,Necessary,Unnecessary,Unnecessary,Unnecessary,Necessary,Unnecessary,Nice to have,Nice to have,,,
Nice to have,Necessary,Nice to have,Unnecessary,Nice to have,Nice to have,Nice to have,Unnecessary,Nice to have,Nice to have,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Nice to have,Nice to have,Nice to have,Necessary,Necessary,Nice to have,Nice to have,Nice to have,Unnecessary,Necessary,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Necessary,Unnecessary,Unnecessary,Nice to have,,,
Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Necessary,Necessary,Nice to have,Nice to have,Necessary,,,
,,,,,,,,,,,,
Nice to have,Unnecessary,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Necessary,Necessary,Necessary,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Necessary,Nice to have,Necessary,Nice to have,Necessary,Necessary,Necessary,Nice to have,Nice to have,Necessary,,,
Nice to have,Nice to have,Necessary,Nice to have,Necessary,Necessary,Necessary,Nice to have,Unnecessary,Necessary,,,
Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Unnecessary,Necessary,Necessary,Necessary,Necessary
,,,,,,,,,,,,
Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,,,
,,,,,,,,,,,,
,Nice to have,,,Necessary,,,,Necessary,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,Nice to have,Nice to have,Nice to have,Nice to have,,,,,
Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Necessary,Necessary,Unnecessary,Unnecessary,Necessary,,,
,,,,,,,,,,,,
Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Unnecessary,Unnecessary,Nice to have,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Necessary,Nice to have,Nice to have,Nice to have,Unnecessary,Unnecessary,Unnecessary,Nice to have,Unnecessary,Unnecessary,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Nice to have,Necessary,Necessary,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Unnecessary,Necessary,,,
Nice to have,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Nice to have,Necessary,,,
Necessary,Nice to have,Necessary,Necessary,Necessary,Necessary,Nice to have,Nice to have,Necessary,Necessary,Necessary,,
Necessary,Necessary,Necessary,Nice to have,Necessary,Necessary,Necessary,Nice to have,Unnecessary,Nice to have,,,
Nice to have,Unnecessary,Nice to have,Unnecessary,Necessary,Nice to have,Necessary,Nice to have,Unnecessary,Nice to have,,,
,,,,,,,,,,,,
Necessary,Unnecessary,Nice to have,Necessary,Nice to have,Unnecessary,Nice to have,Nice to have,Nice to have,Nice to have,,,
,,,,,,,,,,,,
Necessary,Necessary,Necessary,Nice to have,Necessary,Nice to have,Unnecessary,Nice to have,Unnecessary,Nice to have,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Nice to have,Unnecessary,Nice to have,Unnecessary,Necessary,Nice to have,Nice to have,Unnecessary,Unnecessary,Nice to have,,,
Nice to have,Nice to have,Necessary,Unnecessary,Necessary,Necessary,Nice to have,Nice to have,Nice to have,Necessary,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Necessary,Nice to have,Necessary,Unnecessary,Necessary,Necessary,Necessary,Nice to have,Nice to have,Nice to have,Necessary,,
,,,,,,,,,,,,
Necessary,Nice to have,Nice to have,,Necessary,Necessary,Nice to have,Nice to have,Necessary,Necessary,,,
Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have
,,,,,,,,,,,,
,,,,,,,,,,,,
Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Necessary,Nice to have,Nice to have,Nice to have,Necessary,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Unnecessary,Nice to have,Nice to have,Unnecessary,Necessary,Nice to have,Nice to have,Unnecessary,Nice to have,Nice to have,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Nice to have,Nice to have,Necessary,Nice to have,Necessary,Necessary,Necessary,Nice to have,Nice to have,Necessary,,,
,,,,,,,,,,,,
Nice to have,Nice to have,Necessary,Unnecessary,Necessary,Nice to have,Necessary,Unnecessary,Nice to have,Nice to have,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Necessary,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Necessary,Necessary,,,
Nice to have,Necessary,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Unnecessary,Nice to have,,,
,,,,,,,,,,,,
Nice to have,Nice to have,Nice to have,,,,,,,,,,
Necessary,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Nice to have,,,
Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Nice to have,Nice to have,,,
,,,,,,,,,,,,
Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Unnecessary,Unnecessary,Unnecessary,Unnecessary,Unnecessary,Unnecessary
Nice to have,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Nice to have,Unnecessary,Nice to have,Necessary,,,
,,,,,,,,,,,,
Necessary,Nice to have,Necessary,Nice to have,Nice to have,Necessary,Necessary,Unnecessary,Nice to have,Nice to have,,,
Necessary,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Unnecessary,Unnecessary,Nice to have,,,
,,,,,,,,,,,,
Necessary,Unnecessary,Nice to have,Unnecessary,Necessary,Nice to have,Nice to have,Nice to have,Unnecessary,Necessary,,,
Nice to have,Nice to have,Necessary,Unnecessary,Necessary,Necessary,Nice to have,Nice to have,Nice to have,Necessary,,,
Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Unnecessary,Nice to have,Unnecessary,Unnecessary,Nice to have,,,
Necessary,Necessary,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Unnecessary,Necessary,Necessary,Nice to have,
,,,,,,,,,,,,
Necessary,Nice to have,Necessary,Unnecessary,Necessary,Nice to have,Necessary,Nice to have,Necessary,Necessary,,,
Necessary,Nice to have,Necessary,Necessary,Necessary,Necessary,Nice to have,Unnecessary,Nice to have,Nice to have,,,
Nice to have,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Unnecessary,Nice to have,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Necessary,Nice to have,Necessary,Nice to have,Necessary,Necessary,Unnecessary,Nice to have,Nice to have,Nice to have,Nice to have,,
,,,,,,,,,,,,
Necessary,Nice to have,Necessary,Unnecessary,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Unnecessary,Unnecessary,Unnecessary
,,,,,,,,,,,,
,,,,,,,,,,,,
Nice to have,Necessary,Necessary,Nice to have,Necessary,Necessary,Necessary,Nice to have,Unnecessary,Necessary,,,
Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,,Necessary,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Nice to have,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Unnecessary,Necessary,Nice to have,Nice to have,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Necessary,Nice to have,Necessary,Necessary,Necessary,Necessary,Necessary,Nice to have,Nice to have,Nice to have,,,
Nice to have,Nice to have,Necessary,Nice to have,Necessary,Necessary,Necessary,Nice to have,Nice to have,Nice to have,,,
,,,,,,,,,,,,
Unnecessary,Necessary,Necessary,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,,,
,,,,,,,,,,,,
Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,,Necessary,,
,,,,,,,,,,,,
Necessary,Necessary,Necessary,Nice to have,Necessary,Necessary,Nice to have,Unnecessary,Unnecessary,Nice to have,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Necessary,Nice to have,Necessary,Nice to have,Nice to have,Necessary,Necessary,Necessary,Nice to have,Necessary,,,
Nice to have,Necessary,Nice to have,Nice to have,Necessary,Necessary,Nice to have,Unnecessary,Unnecessary,Nice to have,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,Necessary,Nice to have,Nice to have,Nice to have,,,
Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Unnecessary,Nice to have,,,
,,,,,,,,,,,,
Unnecessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,,,Unnecessary
Necessary,Nice to have,Nice to have,Unnecessary,Nice to have,Nice to have,Nice to have,,Unnecessary,Nice to have,,,
Necessary,Necessary,Nice to have,Nice to have,Necessary,Unnecessary,Unnecessary,Unnecessary,Nice to have,Nice to have,Unnecessary,Unnecessary,Unnecessary
,,,,,,,,,,,,
,,,,,,,,,,,,
Nice to have,Necessary,Nice to have,Nice to have,Necessary,Necessary,,,Nice to have,Necessary,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Nice to have,Nice to have,,,,,,,,,,
Nice to have,Necessary,Necessary,Nice to have,Nice to have,Necessary,Necessary,Unnecessary,Nice to have,Nice to have,Necessary,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Nice to have,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Necessary,Nice to have,Necessary,Nice to have,,,
Necessary,Nice to have,Necessary,Necessary,Necessary,Necessary,Necessary,Nice to have,Nice to have,Necessary,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Nice to have,Necessary,Necessary,Nice to have,Nice to have,Nice to have,Necessary,,Unnecessary,Nice to have,,,
,,,,,,,,,,,,
Nice to have,Necessary,Necessary,Nice to have,Nice to have,Nice to have,Nice to have,Nice to have,Unnecessary,Necessary,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
